quote.string(),author.string(),tags.string()
"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",Marilyn Monroe,"attributed-no-source, best, life, love, mistakes, out-of-control, truth, worst"
"You know you're in love when you can't fall asleep because reality is finally better than your dreams.",Dr. Seuss,"attributed-no-source, dreams, love, reality, sleep"
"A friend is someone who knows all about you and still loves you.",Elbert Hubbard,"friend, friendship, knowledge, love"
"Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.","Martin Luther King Jr.","darkness, drive-out, hate, inspirational, light, love, peace"
"We accept the love we think we deserve.",Stephen Chbosky,"inspirational, love"
"It is better to be hated for what you are than to be loved for what you are not.",André Gide,"life, love"
"As he read, I fell in love the way you fall asleep: slowly, and then all at once.",John Green,love
"Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.",Neil Gaiman,love
"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.",Lao Tzu,"courage, deeply-loved, love, strength, widely-misattributed"
"There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.",Sarah Dessen,love
"Love is that condition in which the happiness of another person is essential to your own.",Robert A. Heinlein,"essential, happiness, love"
"You love me. Real or not real? I tell him, 'Real.'",Suzanne Collins,"katniss, love, peeta, suzanne-collins, the-hunger-games"
"A lack of planning leads to failure.",Sunday Adelaja,"failure, lack"
"If you are not planning for success, then you are planning for failure.",Sunday Adelaja,"failure, success"
"The reason why a person does not have success can be found inside him. It is his worldview, conscience, and perception of life",Sunday Adelaja,failure
"It is better to admit your failure than to live in self deception.",Sunday Adelaja,failure
"What I'm getting at here is that you can be entrepreneurial without being an entrepreneur. Entrepreneurial people are passionate about what they do, comfortable taking risks, and quick at moving on from failures.",Sophia Amoruso,"entrepreneurial, failure, risk-taking, success"
"Don't fear failure, fear inaction.",Debasish Mridha,"debasish, debasish-mridha, failure, fear, fear-failure, fear-inaction, mridha, philosophy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For every setback, do not get discouraged. Rejoice because you learned more than you expected.",Debasish Mridha,"debasish, debasish-mridha, discouraged, failure, learned-more-than-you-expected, mridha, philosophy, rejoice, setback"
"Don't ever shelter the feeling of discouragement in your mind, because it only comes to distract one from one's true abilities in life.",Debasish Mridha,"ability, disappointment, discourage, discouragement, discouraging, don-t-get-discouraged, edmond-mbiaka, failure, failures, mistake, mistakes, one-s-true-abilities-in-life, the-feeling-of-discouragement"
"It is not the success but the failures that glorify success.",Debasish Mridha,"debasish, debasish-mridha, failure, glorify-success, mridha, philosophy, success"
"Often what we struggle with becomes the foundation of our greatest success.","James Woosley","failure, struggle, success"
